Date,Gender,Region,Device Category,Age,Users,Transactions
20211202,male,California,desktop,25-34,45,34
20211203,male,England,desktop,18-24,45,0
20211213,female,California,desktop,18-24,45,30
20211213,male,California,desktop,18-24,45,30
20211214,male,California,desktop,25-34,45,30
20211214,male,California,desktop,35-44,45,4
20211216,male,California,desktop,25-34,45,15
20211216,male,California,desktop,35-44,45,23
20220113,male,California,desktop,25-34,45,19
20220125,male,California,desktop,35-44,45,30
20220215,male,California,desktop,25-34,45,38
20220224,female,California,desktop,18-24,45,15
20220228,male,California,desktop,25-34,45,11
20220330,male,California,desktop,25-34,45,8
20220331,female,California,desktop,25-34,45,26
20220404,male,California,desktop,25-34,45,19
20220407,male,California,desktop,18-24,45,49
20220414,female,California,desktop,25-34,45,19
20220418,male,California,desktop,35-44,45,8
20220419,male,California,desktop,25-34,45,19
20220421,male,California,desktop,25-34,45,26
20220504,male,California,desktop,25-34,45,23
20220506,male,New York,desktop,55-64,45,0
20220509,female,California,desktop,25-34,45,11
20220509,male,California,desktop,25-34,45,8
20220512,female,New York,desktop,18-24,45,0
20220514,female,New York,desktop,25-34,45,0
20220515,female,New York,desktop,25-34,45,0
20220515,male,New York,desktop,35-44,45,0
20220523,female,California,desktop,18-24,45,15
20220608,male,California,desktop,25-34,45,11
20220609,female,California,desktop,25-34,45,30
20220616,female,California,desktop,18-24,45,19
20220701,male,California,desktop,25-34,45,0
20220707,male,California,desktop,25-34,45,15
20220711,male,California,desktop,35-44,45,23
20220721,male,California,desktop,25-34,45,45
20220726,male,California,desktop,35-44,45,15
20220727,male,California,desktop,18-24,45,23
20220727,male,California,desktop,35-44,45,23
20220811,male,California,desktop,18-24,45,4
20220812,female,California,desktop,18-24,45,42
20220817,female,California,desktop,25-34,45,19
20220817,male,California,desktop,35-44,45,26
20220823,female,California,desktop,18-24,45,0
20220825,female,Victoria,desktop,18-24,45,0
20220826,female,California,desktop,25-34,45,15
20220829,female,California,desktop,25-34,45,0
20220923,male,California,desktop,35-44,45,30
20220928,female,California,desktop,35-44,45,76
20221003,male,California,desktop,18-24,45,11
20221012,female,California,desktop,18-24,45,8
20221013,male,New York,desktop,25-34,45,8
20221017,female,California,desktop,25-34,45,8
20221026,female,California,desktop,25-34,45,64
20221108,female,California,desktop,25-34,45,4
20221110,female,California,desktop,18-24,45,0
20221117,female,California,desktop,35-44,45,26
20221121,male,California,desktop,18-24,45,0
20221122,female,California,desktop,25-34,45,0
20221202,male,California,desktop,35-44,45,30
20221205,female,California,desktop,18-24,45,19
